PAC,SHO,PAS,DRI,DEF,PHY,DIV,HAN,KIC,REF,SPE,POS,WF,Skill,Position,Rtg,Rarity
78.0,60.0,72.0,72.0,69.0,77.0,,,,,,,3,3,Midfielder,75,Gold
76.0,70.0,72.0,79.0,54.0,68.0,,,,,,,3,4,Midfielder,75,Gold
76.0,70.0,72.0,79.0,54.0,68.0,,,,,,,3,4,Midfielder,75,Gold
67.0,68.0,74.0,75.0,70.0,75.0,,,,,,,3,3,Midfielder,75,Gold
77.0,68.0,70.0,75.0,45.0,66.0,,,,,,,4,4,Midfielder,75,Gold
73.0,43.0,61.0,65.0,75.0,74.0,,,,,,,2,3,Defender,75,Gold
73.0,43.0,61.0,65.0,75.0,74.0,,,,,,,2,3,Defender,75,Gold
73.0,43.0,61.0,65.0,75.0,74.0,,,,,,,2,3,Defender,75,Gold
87.0,66.0,70.0,78.0,40.0,53.0,,,,,,,4,4,Midfielder,75,Gold
48.0,61.0,66.0,67.0,74.0,81.0,,,,,,,3,3,Midfielder,75,Gold
84.0,65.0,65.0,79.0,44.0,53.0,,,,,,,2,4,Midfielder,75,Gold
50.0,42.0,52.0,51.0,77.0,72.0,,,,,,,2,2,Defender,75,Gold
63.0,63.0,71.0,74.0,63.0,70.0,,,,,,,3,3,Midfielder,75,Gold
86.0,67.0,72.0,73.0,68.0,78.0,,,,,,,3,3,Defender,75,Gold
58.0,66.0,72.0,74.0,74.0,74.0,,,,,,,3,3,Midfielder,75,Gold
72.0,70.0,73.0,77.0,58.0,66.0,,,,,,,4,3,Midfielder,75,Gold
59.0,42.0,61.0,67.0,77.0,71.0,,,,,,,2,2,Defender,75,Gold
73.0,69.0,77.0,74.0,53.0,66.0,,,,,,,3,3,Midfielder,75,Gold
86.0,72.0,68.0,76.0,39.0,69.0,,,,,,,3,4,Attacker,75,Gold
43.0,32.0,57.0,50.0,74.0,84.0,,,,,,,2,2,Defender,75,Gold
71.0,65.0,74.0,79.0,70.0,67.0,,,,,,,3,3,Midfielder,75,Gold
84.0,38.0,52.0,57.0,73.0,82.0,,,,,,,2,2,Defender,75,Gold
70.0,80.0,73.0,82.0,35.0,65.0,,,,,,,4,4,Attacker,75,Gold
70.0,69.0,73.0,82.0,44.0,47.0,,,,,,,3,4,Midfielder,75,Gold
78.0,55.0,68.0,72.0,71.0,71.0,,,,,,,2,3,Defender,75,Gold
72.0,73.0,70.0,77.0,43.0,69.0,,,,,,,3,3,Attacker,75,Gold
55.0,53.0,65.0,61.0,78.0,72.0,,,,,,,2,2,Defender,75,Gold
65.0,69.0,68.0,71.0,74.0,70.0,,,,,,,3,3,Midfielder,75,Gold
75.0,74.0,65.0,75.0,38.0,71.0,,,,,,,3,3,Attacker,75,Gold
70.0,74.0,74.0,80.0,31.0,63.0,,,,,,,4,5,Midfielder,75,Gold
73.0,56.0,68.0,69.0,73.0,72.0,,,,,,,2,3,Defender,75,Gold
70.0,74.0,65.0,71.0,47.0,81.0,,,,,,,2,3,Attacker,75,Gold
62.0,55.0,66.0,69.0,72.0,84.0,,,,,,,3,2,Midfielder,75,Gold
93.0,71.0,65.0,76.0,34.0,70.0,,,,,,,2,3,Attacker,75,Gold
34.0,33.0,52.0,47.0,76.0,78.0,,,,,,,2,2,Defender,75,Gold
44.0,75.0,65.0,64.0,34.0,85.0,,,,,,,4,3,Attacker,75,Gold
44.0,75.0,65.0,64.0,34.0,85.0,,,,,,,4,3,Attacker,75,Gold
81.0,48.0,66.0,71.0,70.0,67.0,,,,,,,3,4,Defender,75,Gold
79.0,54.0,69.0,70.0,71.0,69.0,,,,,,,2,3,Defender,75,Gold
93.0,67.0,68.0,79.0,34.0,58.0,,,,,,,4,3,Midfielder,75,Gold
77.0,70.0,74.0,78.0,72.0,74.0,,,,,,,3,3,Midfielder,75,Gold
77.0,70.0,74.0,78.0,72.0,74.0,,,,,,,3,3,Midfielder,75,Gold
70.0,75.0,72.0,78.0,40.0,67.0,,,,,,,3,3,Midfielder,75,Gold
66.0,63.0,75.0,77.0,67.0,83.0,,,,,,,3,3,Midfielder,75,Gold
73.0,70.0,74.0,79.0,40.0,63.0,,,,,,,3,4,Midfielder,75,Gold
61.0,33.0,51.0,56.0,76.0,69.0,,,,,,,3,2,Defender,75,Gold
61.0,33.0,51.0,56.0,76.0,69.0,,,,,,,3,2,Defender,75,Gold
61.0,33.0,51.0,56.0,76.0,69.0,,,,,,,3,2,Defender,75,Gold
85.0,73.0,67.0,76.0,35.0,61.0,,,,,,,4,4,Attacker,75,Gold
76.0,75.0,67.0,74.0,30.0,70.0,,,,,,,3,3,Attacker,75,Gold
56.0,55.0,69.0,64.0,77.0,67.0,,,,,,,3,2,Midfielder,75,Gold
65.0,56.0,74.0,77.0,75.0,66.0,,,,,,,3,3,Midfielder,75,Gold
73.0,73.0,72.0,77.0,39.0,61.0,,,,,,,5,4,Midfielder,75,Gold
85.0,44.0,69.0,75.0,69.0,72.0,,,,,,,3,3,Defender,75,Gold
67.0,64.0,74.0,75.0,68.0,77.0,,,,,,,2,3,Midfielder,75,Gold
73.0,67.0,73.0,77.0,42.0,55.0,,,,,,,4,4,Midfielder,75,Gold
89.0,72.0,65.0,74.0,32.0,68.0,,,,,,,3,3,Attacker,75,Gold
89.0,72.0,65.0,74.0,32.0,68.0,,,,,,,3,3,Attacker,75,Gold
73.0,68.0,74.0,76.0,66.0,72.0,,,,,,,4,3,Midfielder,75,Gold
65.0,39.0,54.0,60.0,77.0,70.0,,,,,,,3,2,Defender,75,Gold
86.0,74.0,71.0,75.0,38.0,81.0,,,,,,,4,3,Midfielder,75,Gold
84.0,71.0,74.0,74.0,39.0,68.0,,,,,,,3,3,Attacker,75,Gold
73.0,77.0,49.0,68.0,26.0,75.0,,,,,,,3,3,Attacker,75,Gold
61.0,73.0,78.0,76.0,67.0,66.0,,,,,,,4,3,Midfielder,75,Gold
82.0,72.0,74.0,77.0,64.0,62.0,,,,,,,2,3,Midfielder,75,Gold
67.0,55.0,70.0,66.0,73.0,74.0,,,,,,,3,3,Midfielder,75,Gold
79.0,50.0,68.0,72.0,70.0,77.0,,,,,,,2,2,Defender,75,Gold
65.0,65.0,69.0,72.0,74.0,76.0,,,,,,,3,3,Midfielder,75,Gold
55.0,37.0,60.0,65.0,78.0,73.0,,,,,,,3,2,Defender,75,Gold
91.0,70.0,65.0,81.0,42.0,69.0,,,,,,,4,4,Midfielder,75,Gold
51.0,40.0,50.0,51.0,76.0,78.0,,,,,,,3,2,Defender,75,Gold
79.0,71.0,72.0,77.0,33.0,52.0,,,,,,,3,3,Midfielder,75,Gold
73.0,72.0,68.0,77.0,37.0,71.0,,,,,,,4,3,Attacker,75,Gold
50.0,71.0,72.0,70.0,58.0,73.0,,,,,,,3,3,Midfielder,75,Gold
54.0,74.0,63.0,68.0,30.0,84.0,,,,,,,3,2,Attacker,75,Gold
69.0,77.0,64.0,76.0,36.0,77.0,,,,,,,3,3,Attacker,75,Gold
78.0,68.0,72.0,75.0,37.0,54.0,,,,,,,3,3,Midfielder,75,Gold
77.0,69.0,73.0,75.0,47.0,65.0,,,,,,,3,3,Midfielder,75,Gold
77.0,75.0,70.0,78.0,39.0,76.0,,,,,,,4,4,Midfielder,75,Gold
76.0,68.0,70.0,78.0,47.0,68.0,,,,,,,3,4,Midfielder,75,Gold
66.0,67.0,73.0,74.0,71.0,70.0,,,,,,,2,3,Midfielder,75,Gold
61.0,37.0,60.0,60.0,74.0,79.0,,,,,,,3,2,Defender,75,Gold
80.0,74.0,76.0,78.0,37.0,64.0,,,,,,,4,4,Midfielder,75,Gold
80.0,74.0,76.0,78.0,37.0,64.0,,,,,,,4,4,Midfielder,75,Gold
80.0,61.0,62.0,71.0,75.0,80.0,,,,,,,3,3,Midfielder,75,Gold
80.0,61.0,62.0,71.0,75.0,80.0,,,,,,,3,3,Midfielder,75,Gold
78.0,55.0,68.0,74.0,70.0,66.0,,,,,,,3,3,Defender,75,Gold
68.0,59.0,63.0,66.0,74.0,71.0,,,,,,,3,2,Midfielder,75,Gold
82.0,64.0,71.0,76.0,70.0,63.0,,,,,,,3,4,Defender,75,Gold
82.0,72.0,67.0,79.0,41.0,66.0,,,,,,,4,4,Attacker,75,Gold
32.0,44.0,56.0,61.0,74.0,82.0,,,,,,,3,2,Defender,75,Gold
60.0,73.0,79.0,74.0,61.0,68.0,,,,,,,3,3,Midfielder,75,Gold
76.0,63.0,70.0,74.0,73.0,78.0,,,,,,,3,3,Midfielder,75,Gold
83.0,73.0,67.0,76.0,28.0,57.0,,,,,,,4,4,Attacker,75,Gold
78.0,60.0,67.0,71.0,71.0,78.0,,,,,,,4,3,Midfielder,75,Gold
73.0,69.0,77.0,79.0,33.0,60.0,,,,,,,3,3,Midfielder,75,Gold
69.0,61.0,71.0,73.0,72.0,76.0,,,,,,,3,3,Midfielder,75,Gold
69.0,51.0,68.0,72.0,73.0,75.0,,,,,,,3,3,Defender,75,Gold
77.0,39.0,61.0,70.0,72.0,82.0,,,,,,,3,2,Defender,75,Gold
82.0,40.0,65.0,66.0,70.0,74.0,,,,,,,2,3,Defender,75,Gold
75.0,69.0,78.0,76.0,56.0,70.0,,,,,,,4,4,Midfielder,75,Gold
75.0,69.0,78.0,76.0,56.0,70.0,,,,,,,4,4,Midfielder,75,Gold
87.0,68.0,67.0,80.0,37.0,55.0,,,,,,,3,4,Midfielder,75,Gold
87.0,68.0,67.0,80.0,37.0,55.0,,,,,,,3,4,Midfielder,75,Gold
65.0,58.0,71.0,73.0,74.0,68.0,,,,,,,3,3,Defender,75,Gold
67.0,65.0,72.0,73.0,74.0,72.0,,,,,,,3,3,Defender,75,Gold
67.0,65.0,72.0,73.0,74.0,72.0,,,,,,,3,3,Defender,75,Gold
87.0,73.0,69.0,80.0,28.0,65.0,,,,,,,3,4,Midfielder,75,Gold
79.0,64.0,71.0,81.0,63.0,70.0,,,,,,,4,4,Midfielder,75,Gold
73.0,59.0,66.0,75.0,73.0,71.0,,,,,,,3,3,Defender,75,Gold
83.0,62.0,62.0,70.0,69.0,72.0,,,,,,,3,3,Defender,75,Gold
70.0,78.0,74.0,77.0,49.0,70.0,,,,,,,3,3,Midfielder,75,Gold
76.0,61.0,71.0,71.0,72.0,68.0,,,,,,,3,3,Defender,75,Gold
87.0,74.0,72.0,72.0,62.0,64.0,,,,,,,3,3,Midfielder,75,Gold
53.0,33.0,59.0,58.0,75.0,80.0,,,,,,,3,2,Defender,75,Gold
56.0,65.0,74.0,69.0,72.0,77.0,,,,,,,3,3,Midfielder,75,Gold
56.0,65.0,74.0,69.0,72.0,77.0,,,,,,,3,3,Midfielder,75,Gold
75.0,65.0,74.0,74.0,73.0,70.0,,,,,,,3,3,Midfielder,75,Gold
87.0,50.0,66.0,69.0,70.0,70.0,,,,,,,2,3,Defender,75,Gold
87.0,50.0,66.0,69.0,70.0,70.0,,,,,,,2,3,Defender,75,Gold
60.0,74.0,74.0,76.0,50.0,65.0,,,,,,,4,4,Midfielder,75,Gold
60.0,74.0,74.0,76.0,50.0,65.0,,,,,,,4,4,Midfielder,75,Gold
64.0,70.0,76.0,70.0,66.0,74.0,,,,,,,4,3,Midfielder,75,Gold
64.0,70.0,76.0,70.0,66.0,74.0,,,,,,,4,3,Midfielder,75,Gold
82.0,50.0,70.0,77.0,71.0,60.0,,,,,,,2,3,Defender,75,Gold
66.0,66.0,68.0,70.0,76.0,67.0,,,,,,,4,3,Defender,75,Gold
69.0,60.0,70.0,67.0,72.0,79.0,,,,,,,3,3,Defender,75,Gold
65.0,50.0,61.0,60.0,74.0,84.0,,,,,,,3,2,Defender,75,Gold
61.0,49.0,61.0,63.0,77.0,74.0,,,,,,,2,2,Defender,75,Gold
78.0,63.0,71.0,78.0,40.0,50.0,,,,,,,3,3,Midfielder,75,Gold
83.0,71.0,62.0,75.0,41.0,68.0,,,,,,,4,3,Attacker,75,Gold
82.0,70.0,69.0,74.0,33.0,69.0,,,,,,,3,3,Midfielder,75,Gold
94.0,69.0,61.0,78.0,37.0,59.0,,,,,,,3,4,Attacker,75,Gold
71.0,53.0,55.0,65.0,75.0,73.0,,,,,,,3,2,Defender,75,Gold
78.0,77.0,72.0,75.0,32.0,68.0,,,,,,,5,4,Midfielder,75,Gold
42.0,67.0,80.0,75.0,59.0,56.0,,,,,,,3,3,Midfielder,75,Gold
60.0,44.0,62.0,65.0,75.0,76.0,,,,,,,3,2,Defender,75,Gold
69.0,75.0,66.0,73.0,36.0,73.0,,,,,,,4,3,Attacker,75,Gold
69.0,75.0,66.0,73.0,36.0,73.0,,,,,,,4,3,Attacker,75,Gold
71.0,59.0,70.0,71.0,70.0,72.0,,,,,,,3,2,Defender,75,Gold
75.0,60.0,73.0,75.0,68.0,66.0,,,,,,,3,3,Midfielder,75,Gold
62.0,73.0,74.0,75.0,69.0,73.0,,,,,,,3,3,Midfielder,75,Gold
67.0,56.0,69.0,68.0,76.0,76.0,,,,,,,3,2,Defender,75,Gold
68.0,46.0,68.0,70.0,76.0,75.0,,,,,,,4,3,Defender,75,Gold
60.0,35.0,62.0,63.0,76.0,72.0,,,,,,,3,2,Defender,75,Gold
84.0,61.0,71.0,77.0,55.0,63.0,,,,,,,4,3,Midfielder,75,Gold
79.0,67.0,71.0,80.0,40.0,59.0,,,,,,,3,4,Attacker,75,Gold
79.0,67.0,71.0,80.0,40.0,59.0,,,,,,,3,4,Attacker,75,Gold
75.0,67.0,71.0,65.0,71.0,65.0,,,,,,,2,2,Defender,75,Gold
81.0,57.0,64.0,73.0,71.0,69.0,,,,,,,3,3,Defender,75,Gold
72.0,74.0,75.0,73.0,50.0,63.0,,,,,,,3,4,Midfielder,75,Gold
79.0,70.0,73.0,74.0,58.0,65.0,,,,,,,3,3,Midfielder,75,Gold
63.0,74.0,79.0,75.0,48.0,59.0,,,,,,,5,4,Midfielder,75,Gold
80.0,70.0,72.0,77.0,63.0,65.0,,,,,,,3,4,Midfielder,75,Gold
69.0,27.0,60.0,67.0,76.0,75.0,,,,,,,4,2,Defender,75,Gold
72.0,50.0,63.0,71.0,72.0,85.0,,,,,,,3,3,Midfielder,75,Gold
72.0,50.0,63.0,71.0,72.0,85.0,,,,,,,3,3,Midfielder,75,Gold
66.0,59.0,72.0,71.0,74.0,76.0,,,,,,,2,2,Defender,75,Gold
84.0,55.0,65.0,75.0,67.0,76.0,,,,,,,2,3,Defender,75,Gold
55.0,28.0,49.0,56.0,74.0,82.0,,,,,,,2,2,Defender,75,Gold
63.0,69.0,75.0,75.0,72.0,69.0,,,,,,,3,4,Midfielder,75,Gold
71.0,74.0,57.0,72.0,30.0,75.0,,,,,,,4,3,Attacker,75,Gold
79.0,72.0,69.0,78.0,42.0,66.0,,,,,,,4,4,Midfielder,75,Gold
72.0,58.0,70.0,71.0,71.0,69.0,,,,,,,3,3,Defender,75,Gold
57.0,57.0,71.0,67.0,74.0,75.0,,,,,,,4,2,Defender,75,Gold
75.0,75.0,70.0,75.0,32.0,69.0,,,,,,,4,4,Attacker,75,Gold
61.0,73.0,75.0,76.0,54.0,70.0,,,,,,,3,4,Midfielder,75,Gold
72.0,74.0,63.0,70.0,35.0,80.0,,,,,,,3,3,Attacker,75,Gold
72.0,74.0,63.0,70.0,35.0,80.0,,,,,,,3,3,Attacker,75,Gold
78.0,72.0,67.0,76.0,48.0,73.0,,,,,,,3,4,Attacker,75,Gold
69.0,62.0,77.0,72.0,63.0,73.0,,,,,,,4,3,Midfielder,75,Gold
69.0,52.0,68.0,73.0,75.0,57.0,,,,,,,2,3,Midfielder,75,Gold
68.0,62.0,71.0,72.0,73.0,70.0,,,,,,,3,3,Defender,75,Gold
73.0,72.0,77.0,77.0,66.0,68.0,,,,,,,4,4,Midfielder,75,Gold
73.0,72.0,77.0,77.0,66.0,68.0,,,,,,,4,4,Midfielder,75,Gold
61.0,75.0,58.0,67.0,39.0,81.0,,,,,,,3,3,Attacker,75,Gold
50.0,37.0,56.0,59.0,78.0,67.0,,,,,,,2,2,Defender,75,Gold
70.0,69.0,73.0,78.0,66.0,67.0,,,,,,,3,3,Midfielder,75,Gold
66.0,69.0,75.0,76.0,71.0,65.0,,,,,,,4,3,Midfielder,75,Gold
75.0,72.0,72.0,77.0,65.0,74.0,,,,,,,3,4,Midfielder,75,Gold
74.0,58.0,69.0,85.0,37.0,55.0,,,,,,,2,4,Attacker,75,Gold
74.0,58.0,69.0,85.0,37.0,55.0,,,,,,,2,4,Attacker,75,Gold
62.0,54.0,70.0,75.0,72.0,71.0,,,,,,,3,3,Midfielder,75,Gold
80.0,59.0,72.0,69.0,73.0,83.0,,,,,,,3,3,Midfielder,75,Gold
78.0,68.0,69.0,76.0,71.0,81.0,,,,,,,4,4,Defender,75,Gold
81.0,73.0,62.0,71.0,42.0,85.0,,,,,,,4,3,Attacker,75,Gold
71.0,75.0,77.0,74.0,56.0,62.0,,,,,,,3,3,Midfielder,75,Gold
88.0,69.0,68.0,80.0,44.0,63.0,,,,,,,3,4,Midfielder,75,Gold
85.0,69.0,68.0,78.0,26.0,56.0,,,,,,,5,3,Attacker,75,Gold
85.0,69.0,68.0,78.0,26.0,56.0,,,,,,,5,3,Attacker,75,Gold
47.0,53.0,55.0,56.0,77.0,76.0,,,,,,,2,2,Defender,75,Gold
61.0,72.0,78.0,79.0,33.0,61.0,,,,,,,2,4,Attacker,75,Gold
62.0,33.0,52.0,55.0,78.0,68.0,,,,,,,3,2,Defender,75,Gold
66.0,51.0,60.0,65.0,76.0,75.0,,,,,,,4,2,Defender,75,Gold
44.0,60.0,56.0,54.0,76.0,77.0,,,,,,,4,2,Defender,75,Gold
47.0,65.0,76.0,73.0,71.0,73.0,,,,,,,3,3,Midfielder,75,Gold
90.0,70.0,63.0,77.0,30.0,72.0,,,,,,,4,4,Midfielder,75,Gold
71.0,75.0,75.0,75.0,45.0,61.0,,,,,,,4,3,Midfielder,75,Gold
72.0,76.0,70.0,76.0,52.0,71.0,,,,,,,3,3,Attacker,75,Gold
72.0,76.0,70.0,76.0,52.0,71.0,,,,,,,3,3,Attacker,75,Gold
72.0,74.0,73.0,77.0,47.0,74.0,,,,,,,4,4,Midfielder,75,Gold
72.0,74.0,73.0,77.0,47.0,74.0,,,,,,,4,4,Midfielder,75,Gold
72.0,74.0,73.0,77.0,47.0,74.0,,,,,,,4,4,Midfielder,75,Gold
72.0,75.0,70.0,78.0,27.0,61.0,,,,,,,4,3,Attacker,75,Gold
88.0,57.0,70.0,75.0,69.0,65.0,,,,,,,3,3,Defender,75,Gold
68.0,29.0,59.0,69.0,75.0,74.0,,,,,,,4,2,Defender,75,Gold
68.0,60.0,70.0,73.0,74.0,69.0,,,,,,,3,3,Defender,75,Gold
68.0,68.0,77.0,77.0,63.0,63.0,,,,,,,2,3,Midfielder,75,Gold
82.0,66.0,71.0,81.0,39.0,53.0,,,,,,,3,3,Midfielder,75,Gold
78.0,50.0,66.0,74.0,72.0,67.0,,,,,,,2,3,Defender,75,Gold
78.0,50.0,66.0,74.0,72.0,67.0,,,,,,,2,3,Defender,75,Gold
45.0,58.0,61.0,62.0,74.0,78.0,,,,,,,3,3,Midfielder,75,Gold
93.0,71.0,67.0,74.0,37.0,63.0,,,,,,,2,3,Midfielder,75,Gold
93.0,71.0,67.0,74.0,37.0,63.0,,,,,,,2,3,Midfielder,75,Gold
93.0,71.0,67.0,74.0,37.0,63.0,,,,,,,2,3,Midfielder,75,Gold
76.0,40.0,57.0,64.0,74.0,80.0,,,,,,,3,2,Defender,75,Gold
67.0,47.0,71.0,75.0,72.0,64.0,,,,,,,3,3,Defender,75,Gold
67.0,47.0,71.0,75.0,72.0,64.0,,,,,,,3,3,Defender,75,Gold
65.0,40.0,58.0,55.0,74.0,79.0,,,,,,,2,2,Defender,74,Silver
65.0,40.0,58.0,55.0,74.0,79.0,,,,,,,2,2,Defender,74,Silver
67.0,67.0,74.0,78.0,33.0,56.0,,,,,,,4,4,Midfielder,74,Silver
67.0,67.0,74.0,78.0,33.0,56.0,,,,,,,4,4,Midfielder,74,Silver
55.0,31.0,44.0,52.0,74.0,82.0,,,,,,,2,2,Defender,74,Silver
55.0,31.0,44.0,52.0,74.0,82.0,,,,,,,2,2,Defender,74,Silver
86.0,58.0,68.0,70.0,68.0,64.0,,,,,,,4,3,Defender,74,Silver
75.0,47.0,65.0,68.0,70.0,76.0,,,,,,,3,2,Defender,74,Silver
69.0,33.0,61.0,66.0,75.0,75.0,,,,,,,3,2,Defender,74,Silver
69.0,33.0,61.0,66.0,75.0,75.0,,,,,,,3,2,Defender,74,Silver
65.0,28.0,44.0,49.0,76.0,72.0,,,,,,,2,2,Defender,74,Silver
65.0,28.0,44.0,49.0,76.0,72.0,,,,,,,2,2,Defender,74,Silver
64.0,63.0,62.0,70.0,69.0,65.0,,,,,,,3,2,Midfielder,74,Silver
59.0,62.0,56.0,62.0,77.0,66.0,,,,,,,3,2,Defender,74,Silver
71.0,67.0,70.0,76.0,67.0,49.0,,,,,,,4,3,Midfielder,74,Silver
71.0,61.0,67.0,71.0,71.0,70.0,,,,,,,3,3,Defender,74,Silver
71.0,74.0,68.0,77.0,36.0,78.0,,,,,,,3,4,Attacker,74,Silver
71.0,74.0,68.0,77.0,36.0,78.0,,,,,,,3,4,Attacker,74,Silver
71.0,74.0,68.0,77.0,36.0,78.0,,,,,,,3,4,Attacker,74,Silver
82.0,70.0,70.0,75.0,35.0,68.0,,,,,,,4,4,Midfielder,74,Silver
72.0,49.0,61.0,69.0,72.0,76.0,,,,,,,3,3,Defender,74,Silver
77.0,72.0,72.0,74.0,43.0,61.0,,,,,,,4,3,Midfielder,74,Silver
67.0,43.0,63.0,64.0,73.0,80.0,,,,,,,3,2,Defender,74,Silver
66.0,44.0,54.0,59.0,75.0,81.0,,,,,,,3,2,Defender,74,Silver
72.0,70.0,71.0,77.0,58.0,77.0,,,,,,,4,4,Midfielder,74,Silver
68.0,74.0,73.0,75.0,65.0,66.0,,,,,,,4,3,Midfielder,74,Silver
71.0,75.0,73.0,74.0,38.0,67.0,,,,,,,4,3,Attacker,74,Silver
62.0,66.0,75.0,73.0,68.0,69.0,,,,,,,4,3,Midfielder,74,Silver
62.0,66.0,75.0,73.0,68.0,69.0,,,,,,,4,3,Midfielder,74,Silver
86.0,68.0,68.0,79.0,34.0,52.0,,,,,,,3,4,Midfielder,74,Silver
86.0,68.0,68.0,79.0,34.0,52.0,,,,,,,3,4,Midfielder,74,Silver
85.0,73.0,66.0,76.0,18.0,65.0,,,,,,,4,3,Midfielder,74,Silver
85.0,73.0,66.0,76.0,18.0,65.0,,,,,,,4,3,Midfielder,74,Silver
92.0,67.0,68.0,75.0,32.0,60.0,,,,,,,3,3,Midfielder,74,Silver
73.0,67.0,74.0,75.0,70.0,67.0,,,,,,,4,3,Midfielder,74,Silver
73.0,67.0,71.0,76.0,37.0,51.0,,,,,,,2,4,Midfielder,74,Silver
87.0,74.0,65.0,75.0,38.0,69.0,,,,,,,3,3,Attacker,74,Silver
70.0,37.0,67.0,60.0,74.0,79.0,,,,,,,2,2,Defender,74,Silver
69.0,34.0,55.0,51.0,75.0,77.0,,,,,,,3,2,Defender,74,Silver
69.0,34.0,55.0,51.0,75.0,77.0,,,,,,,3,2,Defender,74,Silver
67.0,71.0,73.0,71.0,74.0,80.0,,,,,,,3,2,Midfielder,74,Silver
88.0,67.0,71.0,74.0,35.0,61.0,,,,,,,3,4,Attacker,74,Silver
93.0,71.0,63.0,77.0,29.0,70.0,,,,,,,4,4,Midfielder,74,Silver
78.0,66.0,69.0,79.0,26.0,50.0,,,,,,,3,4,Attacker,74,Silver
74.0,74.0,72.0,75.0,71.0,75.0,,,,,,,4,3,Midfielder,74,Silver
74.0,69.0,74.0,79.0,62.0,73.0,,,,,,,3,4,Midfielder,74,Silver
34.0,34.0,50.0,54.0,75.0,79.0,,,,,,,5,2,Defender,74,Silver
34.0,34.0,50.0,54.0,75.0,79.0,,,,,,,5,2,Defender,74,Silver
59.0,53.0,53.0,50.0,75.0,80.0,,,,,,,3,2,Defender,74,Silver
85.0,67.0,68.0,77.0,28.0,60.0,,,,,,,3,3,Midfielder,74,Silver
72.0,38.0,67.0,71.0,71.0,63.0,,,,,,,3,3,Defender,74,Silver
58.0,57.0,63.0,66.0,71.0,79.0,,,,,,,3,2,Midfielder,74,Silver
62.0,76.0,54.0,66.0,38.0,77.0,,,,,,,3,3,Attacker,74,Silver
62.0,76.0,54.0,66.0,38.0,77.0,,,,,,,3,3,Attacker,74,Silver
83.0,72.0,62.0,72.0,36.0,69.0,,,,,,,2,3,Attacker,74,Silver
83.0,72.0,62.0,72.0,36.0,69.0,,,,,,,2,3,Attacker,74,Silver
69.0,74.0,61.0,74.0,38.0,71.0,,,,,,,3,3,Attacker,74,Silver
65.0,44.0,51.0,51.0,74.0,78.0,,,,,,,3,2,Defender,74,Silver
75.0,76.0,63.0,75.0,43.0,66.0,,,,,,,4,3,Attacker,74,Silver
71.0,54.0,62.0,67.0,73.0,80.0,,,,,,,3,2,Defender,74,Silver
88.0,71.0,65.0,76.0,36.0,66.0,,,,,,,3,3,Midfielder,74,Silver
63.0,36.0,49.0,48.0,77.0,75.0,,,,,,,3,2,Defender,74,Silver
63.0,36.0,49.0,48.0,77.0,75.0,,,,,,,3,2,Defender,74,Silver
55.0,33.0,38.0,51.0,77.0,77.0,,,,,,,3,2,Defender,74,Silver
54.0,58.0,67.0,69.0,72.0,68.0,,,,,,,3,3,Midfielder,74,Silver
54.0,58.0,67.0,69.0,72.0,68.0,,,,,,,3,3,Midfielder,74,Silver
64.0,60.0,75.0,76.0,69.0,67.0,,,,,,,3,3,Midfielder,74,Silver
80.0,73.0,64.0,76.0,37.0,70.0,,,,,,,3,4,Midfielder,74,Silver
65.0,56.0,66.0,70.0,72.0,72.0,,,,,,,4,3,Midfielder,74,Silver
65.0,56.0,66.0,70.0,72.0,72.0,,,,,,,4,3,Midfielder,74,Silver
71.0,67.0,73.0,75.0,66.0,71.0,,,,,,,3,3,Midfielder,74,Silver
65.0,47.0,65.0,71.0,73.0,80.0,,,,,,,3,3,Midfielder,74,Silver
75.0,75.0,61.0,77.0,34.0,70.0,,,,,,,5,4,Attacker,74,Silver
91.0,63.0,70.0,71.0,38.0,54.0,,,,,,,3,3,Midfielder,74,Silver
43.0,70.0,80.0,71.0,48.0,60.0,,,,,,,3,3,Midfielder,74,Silver
82.0,70.0,66.0,77.0,48.0,75.0,,,,,,,4,4,Midfielder,74,Silver
79.0,72.0,69.0,75.0,30.0,68.0,,,,,,,4,3,Midfielder,74,Silver
57.0,72.0,76.0,71.0,65.0,66.0,,,,,,,3,3,Midfielder,74,Silver
65.0,60.0,70.0,72.0,77.0,80.0,,,,,,,3,2,Midfielder,74,Silver
66.0,71.0,78.0,77.0,47.0,71.0,,,,,,,3,4,Midfielder,74,Silver
88.0,55.0,69.0,79.0,64.0,59.0,,,,,,,2,4,Defender,74,Silver
88.0,55.0,69.0,79.0,64.0,59.0,,,,,,,2,4,Defender,74,Silver
88.0,55.0,69.0,79.0,64.0,59.0,,,,,,,2,4,Defender,74,Silver
85.0,67.0,65.0,77.0,54.0,64.0,,,,,,,3,3,Midfielder,74,Silver
39.0,64.0,70.0,66.0,73.0,72.0,,,,,,,3,2,Midfielder,74,Silver
86.0,70.0,67.0,77.0,30.0,62.0,,,,,,,3,4,Attacker,74,Silver
55.0,63.0,73.0,75.0,74.0,71.0,,,,,,,3,3,Midfielder,74,Silver
55.0,63.0,73.0,75.0,74.0,71.0,,,,,,,3,3,Midfielder,74,Silver
90.0,73.0,68.0,81.0,29.0,51.0,,,,,,,3,3,Attacker,74,Silver
74.0,61.0,74.0,74.0,69.0,71.0,,,,,,,2,3,Defender,74,Silver
