Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Stefanos Kapino,73,GK,SV Werder Bremen,Bundesliga,GRE,74,67,66,79,41,72,2,1
Sebastián Sosa,73,GK,Mazatlán Fútbol Club,LIGA BBVA MX,URU,73,68,66,75,41,74,3,1
Edgar Badía,73,GK,Elche CF,LaLiga Santander,ESP,76,69,67,75,33,73,3,1
Janis Blaswich,73,GK,Heracles Almelo,Eredivisie,GER,71,71,68,78,42,71,3,1
Kim Jin Hyeon,73,GK,Cerezo Osaka,Meiji Yasuda J1,KOR,73,67,61,76,49,73,3,1
Marafona,73,GK,Alanyaspor,Süper Lig,POR,73,73,66,74,36,74,2,1
Tim Melia,73,GK,Sporting Kansas City,MLS,USA,73,68,73,73,38,74,2,1
Steve Clark,73,GK,Portland Timbers,MLS,USA,72,69,65,73,48,75,4,1
Karl Darlow,73,GK,Newcastle United,Premier League,ENG,75,70,64,76,56,71,2,1
José Antonio Rodríguez,73,GK,Club Deportivo Guadalajara,LIGA BBVA MX,MEX,74,70,66,73,57,73,3,1
Luis Robles,73,GK,Inter Miami CF,MLS,USA,74,71,70,76,41,71,3,1
Tobias Sippel,73,GK,Borussia Mönchengladbach,Bundesliga,GER,74,69,76,77,47,69,2,1
Mariano Andújar,73,GK,Estudiantes de La Plata,Primera División,ARG,72,71,62,75,45,75,3,1
Jonas Lössl,73,GK,Everton,Premier League,DEN,73,74,68,75,31,71,2,1
Itumeleng Khune,73,GK,Kaizer Chiefs,South African FL,SAF,70,71,90,73,35,74,5,1
Remko Pasveer,73,GK,Vitesse,Eredivisie,NED,73,70,83,72,45,74,4,1
Daniele Padelli,73,GK,Inter,Serie A TIM,ITA,72,72,63,70,45,76,2,1
Philipp Pentke,73,GK,TSG Hoffenheim,Bundesliga,GER,74,69,66,77,37,73,2,1
Alfredo Talavera,73,GK,Club Universidad Nacional,LIGA BBVA MX,MEX,74,74,70,68,58,75,4,1
Jean-Louis Leca,73,GK,RC Lens,Ligue 1 Uber Eats,FRA,72,69,69,75,46,74,3,1
Cifuentes,73,GK,Cádiz CF,LaLiga Santander,ESP,67,74,65,71,47,82,3,1
Artur Boruc,73,GK,Legia Warszawa,PKO Ekstraklasa,POL,73,72,66,71,31,75,3,1
Ludovic Butelle,73,GK,Angers SCO,Ligue 1 Uber Eats,FRA,74,69,62,75,32,74,3,1
Nicolas Penneteau,73,GK,Sporting Charleroi,1A Pro League,FRA,70,76,66,66,26,81,3,1
Tiago Sá,73,GK,SC Braga,Liga NOS,POR,74,71,67,75,44,72,3,1
Amir Abedzadeh,73,GK,Marítimo,Liga NOS,IRN,72,70,70,74,28,72,2,1
Carlos Acevedo,73,GK,Santos Laguna,LIGA BBVA MX,MEX,73,72,69,74,22,72,3,1
Pedro Gallese,73,GK,Orlando City Soccer Club,MLS,PER,74,67,69,74,47,70,3,1
Yan Junling,73,GK,Shanghai SIPG FC,CSL,CPR,72,70,67,74,49,72,3,1
Jacob Rinne,73,GK,Aalborg BK,3F Superliga,SWE,73,72,70,75,46,71,3,1
Kevin Müller,73,GK,1. FC Heidenheim 1846,Bundesliga 2,GER,72,70,66,75,48,72,3,1
Léo Jardim,72,GK,LOSC Lille,Ligue 1 Uber Eats,BRA,75,72,67,73,41,66,2,1
Matías Ibáñez,72,GK,Patronato,Primera División,ARG,72,72,65,71,42,73,2,1
Ørjan Nyland,72,GK,Norwich City,EFL Championship,NOR,72,67,77,73,47,73,4,1
Georgiy Bushchan,72,GK,Dynamo Kyiv,Ukrayina Liha,UKR,72,65,73,74,27,69,3,1
Matt Turner,72,GK,New England Revolution,MLS,USA,74,71,66,75,38,75,2,1
Gökhan Akkan,72,GK,Çaykur Rizespor,Süper Lig,TUR,69,68,68,80,48,70,2,1
Raúl Gudiño,72,GK,Club Deportivo Guadalajara,LIGA BBVA MX,MEX,72,72,62,74,47,69,1,1
Léo Jardim,72,GK,Boavista FC,Liga NOS,BRA,75,72,67,73,41,66,2,1
Sivera,72,GK,D. Alavés,LaLiga Santander,ESP,72,70,68,72,57,73,3,1
Jérôme Prior,72,GK,Valenciennes FC,Ligue 2 BKT,FRA,70,69,68,78,51,71,3,1
Farouk Ben Mustapha,72,GK,Al Shabab,MBS Pro League,TUN,74,71,60,72,47,75,2,1
Christian Mathenia,72,GK,1. FC Nürnberg,Bundesliga 2,GER,74,68,62,76,46,71,1,1
Lorenzo Montipò,72,GK,Benevento,Serie A TIM,ITA,72,70,69,76,41,69,1,1
Davy Roef,72,GK,KAA Gent,1A Pro League,BEL,75,70,64,75,51,70,3,1
Tomáš Koubek,72,GK,FC Augsburg,Bundesliga,CZ,77,62,67,76,41,69,2,1
Scott Bain,72,GK,Celtic,Scottish Prem,SCO,70,72,72,74,60,67,3,1
Juan Carlos,72,GK,Girona FC,LaLiga SmartBank,ESP,71,72,74,73,59,71,3,1
Kristoffer Nordfeldt,72,GK,Gençlerbirliği SK,Süper Lig,SWE,71,66,69,74,51,74,3,1
Sean Johnson,72,GK,New York City FC,MLS,USA,73,67,70,76,42,70,2,1
Da Costa,72,GK,Bologna,Serie A TIM,BRA,71,71,64,72,40,75,2,1
Carlo Pinsoglio,72,GK,Piemonte Calcio,Serie A TIM,ITA,74,70,58,76,42,74,2,1
Volkan Babacan,72,GK,İstanbul Başakşehir FK,Süper Lig,TUR,73,70,68,72,54,76,2,1
Thomas Kaminski,72,GK,Blackburn Rovers,EFL Championship,BEL,72,75,67,74,46,67,3,1
Alberto,72,GK,Rayo Vallecano,LaLiga SmartBank,ESP,72,71,71,73,62,70,3,1
Ørjan Nyland,72,GK,Aston Villa,Premier League,NOR,72,67,77,73,47,73,4,1
Alex Smithies,72,GK,Cardiff City,EFL Championship,ENG,72,69,66,72,59,72,2,1
Denis,72,GK,Gil Vicente FC,Liga NOS,BRA,73,72,70,76,54,64,2,1
Marco Pereira,72,GK,Santa Clara,Liga NOS,POR,71,67,65,74,57,71,2,1
Brad Jones,72,GK,Al Nassr,MBS Pro League,AUS,71,69,68,70,53,74,3,1
Johan Dahlin,72,GK,Malmö FF,Allsvenskan,SWE,66,72,67,69,38,79,3,1
Philipp Tschauner,72,GK,RB Leipzig,Bundesliga,GER,71,70,66,73,41,71,3,1
Joe Lewis,72,GK,Aberdeen,Scottish Prem,ENG,75,68,67,75,56,72,3,1
Bartosz Białkowski,72,GK,Millwall,EFL Championship,POL,66,71,67,73,41,75,3,1
Romain Salin,72,GK,Stade Rennais FC,Ligue 1 Uber Eats,FRA,76,64,68,75,30,72,2,1
Yohann Pelé,72,GK,Olympique de Marseille,Ligue 1 Uber Eats,FRA,71,72,67,73,38,71,3,1
Maarten Stekelenburg,72,GK,Ajax,Eredivisie,NED,69,71,72,70,32,73,4,1
Joël Drommel,72,GK,PSV,Eredivisie,NED,73,69,70,73,51,70,3,1
Freddie Woodman,72,GK,Newcastle United,Premier League,ENG,72,68,69,73,45,71,2,1
Christian Walton,72,GK,Brighton & Hove Albion,Premier League,ENG,72,72,70,74,35,66,2,1
Joël Drommel,72,GK,FC Twente,Eredivisie,NED,73,69,70,73,51,70,3,1
Munir,72,GK,Hatayspor,Süper Lig,MOR,70,72,66,72,45,73,3,1
Leopold Zingerle,72,GK,SC Paderborn 07,Bundesliga 2,GER,70,69,67,75,42,72,3,1
Freddie Woodman,72,GK,Swansea City,EFL Championship,ENG,72,68,69,73,45,71,2,1
Cristian Bălgrădean,72,GK,FC CFR 1907 Cluj,Liga I,ROM,72,71,70,72,51,71,3,1
Manuel Riemann,72,GK,VfL Bochum 1848,Bundesliga 2,GER,72,68,71,74,52,70,5,1
Akihiro Hayashi,72,GK,F.C. Tokyo,Meiji Yasuda J1,JAP,72,68,63,74,49,71,3,1
Benjamin Leroy,72,GK,AC Ajaccio,Ligue 2 BKT,FRA,71,71,70,72,39,72,3,1
Dani Jiménez,72,GK,AD Alcorcón,LaLiga SmartBank,ESP,73,69,65,75,51,69,3,1
Vid Belec,72,GK,Sampdoria,Serie A TIM,SVN,73,72,60,74,49,71,3,1
Kim Seung Gyu,72,GK,Kashiwa Reysol,Meiji Yasuda J1,KOR,71,67,70,75,36,70,2,1
Tomeu Nadal,72,GK,Albacete BP,LaLiga SmartBank,ESP,69,70,68,75,39,72,3,1
Sascha Burchert,72,GK,SpVgg Greuther Fürth,Bundesliga 2,GER,72,70,68,73,46,73,3,1
Sten Michael Grytebust,72,GK,FC København,3F Superliga,NOR,73,70,64,75,44,73,2,1
Bracali,72,GK,Boavista FC,Liga NOS,BRA,73,72,60,71,39,71,2,1
Leonardo Burián,72,GK,Colón de Santa Fe,Primera División,URU,71,70,68,71,41,72,3,1
Keiren Westwood,72,GK,Sheffield Wednesday,EFL Championship,IRL,72,71,70,73,48,72,4,1
Brad Guzan,72,GK,Atlanta United,MLS,USA,72,68,72,74,38,72,2,1
Alex Cordaz,72,GK,Crotone,Serie A TIM,ITA,68,71,62,74,26,72,1,1
Sammy Bossut,72,GK,SV Zulte Waregem,1A Pro League,BEL,72,70,65,71,44,73,3,1
David Marshall,72,GK,Derby County,EFL Championship,SCO,71,69,66,73,49,72,3,1
Adrián Ortolá,71,GK,Girona FC,LaLiga SmartBank,ESP,70,68,74,73,50,70,5,1
Karlo Letica,71,GK,Sampdoria,Serie A TIM,CRO,77,63,64,73,32,72,3,1
Riesgo,71,GK,CD Leganés,LaLiga SmartBank,ESP,71,73,67,69,54,71,3,1
Khalid Eissa,71,GK,Al Ain FC,United Emirates League,UAE,70,65,59,77,49,72,3,1
Karlo Letica,71,GK,Club Brugge KV,1A Pro League,CRO,77,63,64,73,32,72,3,1
Stefan Marinović,71,GK,Wellington Phoenix,A-League,NZL,73,66,60,77,52,65,2,1
Jhonatan,71,GK,Vitória Guimarães,Liga NOS,BRA,75,70,70,74,33,67,2,1
Gil Alcalá,71,GK,Gallos Blancos de Querétaro,LIGA BBVA MX,MEX,71,70,62,72,59,73,2,1
Ethan Horvath,71,GK,Club Brugge KV,1A Pro League,USA,78,66,57,76,48,62,3,1
Gibrán Lajud,71,GK,Santos Laguna,LIGA BBVA MX,MEX,71,66,63,74,46,74,1,1
Shusaku Nishikawa,71,GK,Urawa Red Diamonds,Meiji Yasuda J1,JAP,70,67,75,75,42,71,3,1
Fernando Monetti,71,GK,San Lorenzo de Almagro,Primera División,ARG,70,68,72,71,56,69,3,1
Daniel Guimarães,71,GK,Nacional,Liga NOS,BRA,75,65,60,74,39,68,1,1
Stole Dimitrievski,71,GK,Rayo Vallecano,LaLiga SmartBank,MAC,72,70,68,70,36,74,2,1
Philipp Kühn,71,GK,VfL Osnabrück,Bundesliga 2,GER,72,64,69,78,48,75,3,1
Andreas Linde,71,GK,Molde FK,Eliteserien,SWE,73,67,65,74,48,69,2,1
Mirko Pigliacelli,71,GK,Universitatea Craiova,Liga I,ITA,71,69,83,71,48,66,3,1
Adrián Ortolá,71,GK,CD Tenerife,LaLiga SmartBank,ESP,70,68,74,73,50,70,5,1
Raïs M'Bolhi,71,GK,Ettifaq FC,MBS Pro League,ALG,71,67,65,77,51,67,3,1
Jörg Siebenhandl,71,GK,SK Sturm Graz,Ö. Bundesliga,AT,69,68,75,74,46,69,3,1
Costel Pantilimon,71,GK,Denizlispor,Süper Lig,ROM,67,71,72,72,36,70,2,1
Dušan Kuciak,71,GK,Lechia Gdańsk,PKO Ekstraklasa,SVK,74,64,64,76,37,71,2,1
Wang Dalei,71,GK,Shandong Luneng TaiShan FC,CSL,CPR,70,69,70,72,60,68,3,1
Manolo Reina,71,GK,RCD Mallorca,LaLiga SmartBank,ESP,68,68,67,72,56,74,3,1
Cristian Lucchetti,71,GK,Atlético Tucumán,Primera División,ARG,72,69,76,70,42,69,3,1
Alexander Walke,71,GK,FC Red Bull Salzburg,Ö. Bundesliga,GER,71,70,75,72,36,69,3,1
Felipe Rodríguez,71,GK,Fútbol Club Juárez,LIGA BBVA MX,MEX,68,68,71,73,53,72,3,1
Martin Fraisl,71,GK,ADO Den Haag,Eredivisie,AT,73,68,64,73,41,69,2,1
Zeng Cheng,71,GK,Guangzhou Evergrande Taobao FC,CSL,CPR,70,66,69,74,32,71,4,1
Dillon Phillips,71,GK,Cardiff City,EFL Championship,ENG,72,67,62,72,46,70,3,1
Felix Wiedwald,71,GK,FC Emmen,Eredivisie,GER,73,64,68,73,39,67,2,1
Marcus Bettinelli,71,GK,Middlesbrough,EFL Championship,ENG,71,69,73,73,30,73,3,1
Julian Pollersbeck,71,GK,Olympique Lyonnais,Ligue 1 Uber Eats,GER,73,66,72,73,27,70,3,1
Mateus Pasinato,71,GK,Moreirense FC,Liga NOS,BRA,71,72,71,67,23,71,3,1
Panagiotis Tsintotas,71,GK,AEK Athens,Hellas Liga,GRE,73,70,70,75,31,63,2,1
Arnaud Bodart,71,GK,Standard de Liège,1A Pro League,BEL,73,72,65,74,22,68,2,1
Charles,71,GK,Marítimo,Liga NOS,BRA,72,66,60,74,30,70,2,1
Martin Fraisl,71,GK,SV Sandhausen,Bundesliga 2,AT,73,68,64,73,41,69,2,1
Jean Butez,71,GK,Royal Antwerp FC,1A Pro League,FRA,73,67,73,72,45,68,3,1
Rafael Defendi,71,GK,Farense,Liga NOS,BRA,68,70,69,71,33,73,2,1
Timon Wellenreuther,71,GK,RSC Anderlecht,1A Pro League,GER,74,67,66,72,53,68,4,1
Dillon Phillips,71,GK,Charlton Athletic,EFL League One,ENG,72,67,62,72,46,70,3,1
Maxime Crépeau,71,GK,Vancouver Whitecaps FC,MLS,CAN,70,69,65,74,50,71,2,1
Daniel Heuer Fernandes,71,GK,Hamburger SV,Bundesliga 2,POR,72,69,70,74,43,69,4,1
Mohammed Al Owais,71,GK,Al Ahli,MBS Pro League,SAR,71,72,67,70,46,71,3,1
Marcel Schuhen,71,GK,SV Darmstadt 98,Bundesliga 2,GER,73,68,68,75,53,67,3,1
Pietro Terracciano,71,GK,Fiorentina,Serie A TIM,ITA,72,67,64,75,41,69,2,1
Maxime Dupé,71,GK,Toulouse FC,Ligue 2 BKT,FRA,73,70,62,75,46,67,2,1
Mark Gillespie,71,GK,Newcastle United,Premier League,ENG,74,68,66,73,34,72,3,1
Felix Wiedwald,71,GK,Eintracht Frankfurt,Bundesliga,GER,73,64,68,73,39,67,2,1
Wes Foderingham,71,GK,Sheffield United,Premier League,ENG,71,69,68,72,44,70,2,1
Oscar Jiménez,71,GK,Club América,LIGA BBVA MX,MEX,73,69,68,72,33,71,3,1
Eugenio Lamanna,71,GK,AC Monza,Calcio B,ITA,68,70,66,73,31,70,2,1
Alfredo Saldívar,71,GK,Deportivo Toluca,LIGA BBVA MX,MEX,71,72,70,68,45,70,3,1
Martin Männel,71,GK,FC Erzgebirge Aue,Bundesliga 2,GER,73,71,60,74,49,69,3,1
Zeng Cheng,71,GK,Shanghai Greenland Shenhua FC,CSL,CPR,70,66,69,74,32,71,4,1
Felipe Rodríguez,71,GK,Club Atlético de San Luis,LIGA BBVA MX,MEX,68,68,71,73,53,72,3,1
Luciano Pocrnjic,71,GK,Club Atlético Aldosivi,Primera División,ARG,71,68,64,70,27,72,3,1
Federico Marchetti,71,GK,Genoa,Serie A TIM,ITA,68,70,64,70,53,70,3,1
Axel Werner,70,GK,Atlético de Madrid,LaLiga Santander,ARG,74,72,75,70,43,68,2,1
Filip Manojlović,70,GK,Getafe CF,LaLiga Santander,SRB,72,69,70,71,20,66,3,1
Giannis Anestis,70,GK,IFK Göteborg,Allsvenskan,GRE,70,65,68,71,24,73,2,1
Daniel Schmidt,70,GK,Sint-Truidense VV,1A Pro League,JAP,71,68,71,73,17,68,4,1
Shun Takagi,70,GK,Oita Trinita,Meiji Yasuda J1,JAP,71,67,74,72,49,69,2,1
Masaaki Higashiguchi,70,GK,Gamba Osaka,Meiji Yasuda J1,JAP,68,70,75,69,33,68,3,1
Jannik Huth,70,GK,SC Paderborn 07,Bundesliga 2,GER,70,66,74,73,59,67,4,1
Oscar Linnér,70,GK,DSC Arminia Bielefeld,Bundesliga,SWE,73,67,66,70,35,72,3,1
Axel Werner,70,GK,Club Atlético de San Luis,LIGA BBVA MX,ARG,74,72,75,70,43,68,2,1
Günay Güvenç,70,GK,Gaziantep FK,Süper Lig,TUR,70,69,67,74,55,69,2,1
Daniel Bentley,70,GK,Bristol City,EFL Championship,ENG,75,64,66,72,45,69,3,1
Andrea Seculin,70,GK,Chievo Verona,Calcio B,ITA,73,67,57,79,30,63,3,1
Ali Ahamada,70,GK,SK Brann,Eliteserien,COM,78,62,58,75,41,63,2,1
Filip Kurto,70,GK,Western United FC,A-League,POL,71,65,61,73,60,67,2,1
Fabian Giefer,70,GK,FC Würzburger Kickers,Bundesliga 2,GER,73,64,58,72,38,71,1,1
Robbin Ruiter,70,GK,Willem II,Eredivisie,NED,70,66,67,69,55,71,2,1
Simone Colombi,70,GK,Parma,Serie A TIM,ITA,71,67,53,76,41,69,2,1
Miguel Fraga,70,GK,Mazatlán Fútbol Club,LIGA BBVA MX,MEX,70,70,74,69,51,69,3,1
Adam Federici,70,GK,Macarthur FC,A-League,AUS,70,67,76,67,42,70,2,1
Artem Rebrov,70,GK,Spartak Moscow,League of Russia,RUS,69,66,64,69,36,74,3,1
Juan Soriano,70,GK,CD Tenerife,LaLiga SmartBank,ESP,72,67,66,73,37,67,2,1
Caro,70,GK,R. Valladolid CF,LaLiga Santander,ESP,68,68,68,70,35,71,3,1
David Lazar,70,GK,Universitatea Craiova,Liga I,ROM,70,65,62,74,40,69,3,1
Koke Vegas,70,GK,RCD Mallorca,LaLiga SmartBank,ESP,72,70,60,68,52,67,3,1
Robin Himmelmann,70,GK,KAS Eupen,1A Pro League,GER,71,65,62,75,33,67,2,1
Shūichi Gonda,70,GK,Shimizu S-Pulse,Meiji Yasuda J1,JAP,69,68,63,71,50,70,2,1
Park Il Gyu,70,GK,Sagan Tosu,Meiji Yasuda J1,KOR,74,54,61,75,40,73,4,1
Juan Soriano,70,GK,Málaga CF,LaLiga SmartBank,ESP,72,67,66,73,37,67,2,1
Markus Schubert,70,GK,Eintracht Frankfurt,Bundesliga,GER,73,67,62,75,40,65,3,1
Saturnin Allagbé,70,GK,Dijon FCO,Ligue 1 Uber Eats,BEN,69,71,67,73,30,69,2,1
Mathieu Michel,70,GK,Chamois Niortais FC,Ligue 2 BKT,FRA,70,68,66,72,49,69,2,1
René,70,GK,FC Dinamo 1948,Liga I,ESP,71,68,63,69,53,70,2,1
Rúnar Alex Rúnarsson,70,GK,Arsenal,Premier League,ICE,71,68,72,71,45,70,2,1
Florian Kastenmeier,70,GK,Fortuna Düsseldorf,Bundesliga 2,GER,72,65,68,71,26,66,3,1
Dante Stipica,70,GK,Pogoń Szczecin,PKO Ekstraklasa,CRO,72,67,64,75,29,73,2,1
David Lazar,70,GK,AFC Astra Giurgiu,Liga I,ROM,70,65,62,74,40,69,3,1
Park Il Gyu,70,GK,Yokohama F・Marinos,Meiji Yasuda J1,KOR,74,54,61,75,40,73,4,1
Oleksiy Shevchenko,70,GK,Shakhtar Donetsk,Ukrayina Liha,UKR,69,66,73,71,25,71,3,1
Adrian Šemper,70,GK,Chievo Verona,Calcio B,CRO,73,69,63,71,19,69,2,1
Noam Baumann,70,GK,FC Lugano,RSL,SUI,69,68,68,74,24,69,2,1
František Plach,70,GK,Piast Gliwice,PKO Ekstraklasa,SVK,69,68,66,71,28,69,2,1
Dani Martín,70,GK,Real Betis,LaLiga Santander,ESP,70,67,67,73,47,69,3,1
Kevin Broll,70,GK,SG Dynamo Dresden,3. Liga,GER,72,65,44,73,15,70,2,1
Maarten Paes,70,GK,FC Utrecht,Eredivisie,NED,69,66,65,71,31,69,3,1
Koke Vegas,70,GK,Levante UD,LaLiga Santander,ESP,72,70,60,68,52,67,3,1
Ivan Zlobin,70,GK,Futebol Clube de Famalicão,Liga NOS,RUS,68,66,61,71,29,72,2,1
Juan Soriano,70,GK,Sevilla FC,LaLiga Santander,ESP,72,67,66,73,37,67,2,1
Caro,70,GK,SD Ponferradina,LaLiga SmartBank,ESP,68,68,68,70,35,71,3,1
Gu Sung Yun,70,GK,Daegu FC,K League 1,KOR,70,64,61,74,21,67,2,1
Diogo Costa,70,GK,FC Porto,Liga NOS,POR,69,66,59,73,32,71,3,1
Markus Schubert,70,GK,FC Schalke 04,Bundesliga,GER,73,67,62,75,40,65,3,1
Patrick Pentz,70,GK,FK Austria Wien,Ö. Bundesliga,AT,68,65,73,73,53,68,4,1
Kang Hyeon Mu,70,GK,Pohang Steelers,K League 1,KOR,71,64,63,74,44,69,3,1
Saturnin Allagbé,70,GK,Chamois Niortais FC,Ligue 2 BKT,BEN,69,71,67,73,30,69,2,1
Shūichi Gonda,70,GK,Portimonense SC,Liga NOS,JAP,69,68,63,71,50,70,2,1
Alexander Kofler,70,GK,RZ Pellets Wolfsberger AC,Ö. Bundesliga,AT,68,71,62,69,48,73,3,1
Luis Cárdenas,70,GK,Rayados de Monterrey,LIGA BBVA MX,MEX,68,70,68,73,41,68,3,1
Gauthier Gallon,70,GK,ESTAC Troyes,Ligue 2 BKT,FRA,72,67,66,72,40,70,2,1
Mauro Goicoechea,70,GK,Toulouse FC,Ligue 2 BKT,URU,71,68,71,70,50,68,2,1
Luis Manuel García,70,GK,Deportivo Toluca,LIGA BBVA MX,MEX,71,71,67,70,47,70,3,1
Abdullah Al Mayoof,70,GK,Al Hilal,MBS Pro League,SAR,69,68,70,70,48,70,3,1
Mathieu Michel,70,GK,AJ Auxerre,Ligue 2 BKT,FRA,70,68,66,72,49,69,2,1
Robin Himmelmann,70,GK,FC St. Pauli,Bundesliga 2,GER,71,65,62,75,33,67,2,1
Benjamin Uphoff,70,GK,Sport-Club Freiburg,Bundesliga,GER,69,69,68,71,38,69,2,1
Fernando,70,GK,UD Almería,LaLiga SmartBank,ESP,71,68,63,72,48,65,2,1
Lawrence Thomas,70,GK,SønderjyskE,3F Superliga,AUS,71,67,62,73,36,66,2,1
Sean McDermott,70,GK,Kristiansund BK,Eliteserien,IRL,70,67,57,73,44,68,2,1
David Bingham,70,GK,LA Galaxy,MLS,USA,74,64,72,72,39,67,2,1
Adam Davies,70,GK,Stoke City,EFL Championship,WAL,70,68,67,71,40,68,3,1
Mathieu Gorgelin,70,GK,Havre AC,Ligue 2 BKT,FRA,73,64,70,71,47,67,2,1
Jed Steer,70,GK,Aston Villa,Premier League,ENG,68,69,70,71,51,70,2,1
Marcus Sandberg,70,GK,Stabæk Fotball,Eliteserien,SWE,70,68,66,70,32,69,2,1
Pāvels Šteinbors,70,GK,Jagiellonia Białystok,PKO Ekstraklasa,LVA,72,66,65,74,37,72,2,1
Kenneth Kronholm,70,GK,Chicago Fire Soccer Club,MLS,USA,74,64,65,74,34,64,3,1
Raúl Fernández,70,GK,UD Las Palmas,LaLiga SmartBank,ESP,70,69,62,70,40,71,2,1
Erwin Mulder,70,GK,SC Heerenveen,Eredivisie,NED,71,70,73,71,33,66,3,1
Kwoun Sun Tae,70,GK,Kashima Antlers,Meiji Yasuda J1,KOR,70,69,64,70,42,70,2,1
Jessy Moulin,70,GK,AS Saint-Étienne,Ligue 1 Uber Eats,FRA,72,70,65,71,51,68,2,1
Rémy Riou,70,GK,Stade Malherbe Caen,Ligue 2 BKT,FRA,70,68,66,68,48,71,1,1
Oscar Ustari,70,GK,Pachuca,LIGA BBVA MX,ARG,66,70,69,72,36,70,2,1
John Ruddy,70,GK,Wolverhampton Wanderers,Premier League,ENG,70,66,72,71,40,70,3,1
Scott Carson,70,GK,Manchester City,Premier League,ENG,69,70,69,68,35,71,3,1
Gianluca Pegolo,70,GK,Sassuolo,Serie A TIM,ITA,70,68,60,70,43,70,2,1
Lee Grant,70,GK,Manchester United,Premier League,ENG,70,70,72,69,42,67,4,1
Jamal Blackman,69,GK,Chelsea,Premier League,ENG,70,69,63,73,26,65,2,1
George Long,69,GK,Millwall,EFL Championship,ENG,68,68,74,73,31,70,3,1
Konstantinos Lamprou,69,GK,PEC Zwolle,Eredivisie,GRE,71,62,74,75,44,63,3,1
Jamal Blackman,69,GK,Rotherham United,EFL Championship,ENG,70,69,63,73,26,65,2,1
Diego Rodríguez,69,GK,Elche CF,LaLiga Santander,ARG,70,64,71,73,44,65,2,1
Jakub Markovič,69,GK,SK Slavia Praha,Česká Liga,CZ,71,71,76,72,61,69,3,1
Alexei Koselev,69,GK,Fortuna Sittard,Eredivisie,MDA,68,66,58,72,30,69,2,1
Illan Meslier,69,GK,Leeds United,Premier League,FRA,69,66,70,72,26,66,2,1
Ander Cantero,69,GK,CD Lugo,LaLiga SmartBank,ESP,65,74,69,67,57,68,3,1
George Long,69,GK,Hull City,EFL League One,ENG,68,68,74,73,31,70,3,1
Konstantinos Lamprou,69,GK,RKC Waalwijk,Eredivisie,GRE,71,62,74,75,44,63,3,1
David Jensen,69,GK,New York Red Bulls,MLS,DEN,66,68,74,68,42,69,3,1
Daniel Hernández,69,GK,CD Tenerife,LaLiga SmartBank,VEN,71,67,59,68,32,67,1,1
Alfonso Blanco,69,GK,Club León,LIGA BBVA MX,MEX,66,69,65,71,56,68,3,1
Ruud Boffin,69,GK,Antalyaspor,Süper Lig,BEL,68,67,73,71,56,68,2,1
Jung Sung Ryong,69,GK,Kawasaki Frontale,Meiji Yasuda J1,KOR,70,66,77,70,43,68,3,1
Per Kristian Bråtveit,69,GK,Nîmes Olympique,Ligue 1 Uber Eats,NOR,70,65,72,67,45,70,3,1
Adam Jakubech,69,GK,LOSC Lille,Ligue 1 Uber Eats,SVK,72,64,64,69,39,67,3,1
Vaso Vasić,69,GK,FC Luzern,RSL,SRB,74,59,67,72,43,71,3,1
Craig MacGillivray,69,GK,Charlton Athletic,EFL League One,SCO,69,65,64,73,51,66,3,1
Colin Coosemans,69,GK,RSC Anderlecht,1A Pro League,BEL,70,63,70,72,44,68,4,1
Iván Vázquez,69,GK,Club León,LIGA BBVA MX,MEX,66,67,71,70,43,69,3,1
Nico Mantl,69,GK,FC Red Bull Salzburg,Ö. Bundesliga,GER,70,69,64,70,33,69,3,1
Daniel Sappa,69,GK,Estudiantes de La Plata,Primera División,ARG,63,72,68,69,33,71,3,1
Michael Verrips,69,GK,FC Emmen,Eredivisie,NED,71,68,71,72,17,65,3,1
Michael Zetterer,69,GK,SV Werder Bremen,Bundesliga,GER,68,66,71,73,41,64,4,1
Antonio Rosati,69,GK,Fiorentina,Serie A TIM,ITA,68,69,46,68,32,70,1,1
Per Kristian Bråtveit,69,GK,FC Groningen,Eredivisie,NOR,70,65,72,67,45,70,3,1
Ertaç Özbir,69,GK,Yeni Malatyaspor,Süper Lig,TUR,70,69,61,70,29,69,2,1
Giorgos Athanasiadis,69,GK,AEK Athens,Hellas Liga,GRE,69,67,65,75,30,66,2,1
Moustapha Zeghba,69,GK,Damac FC,MBS Pro League,ALG,67,67,63,71,48,69,3,1
Malik Asselah,69,GK,Al Hazem,MBS Pro League,ALG,70,68,62,72,42,66,3,1
Limones,69,GK,CD Mirandés,LaLiga SmartBank,ESP,67,69,64,70,33,71,2,1
Adam Jakubech,69,GK,KV Kortrijk,1A Pro League,SVK,72,64,64,69,39,67,3,1
Nico Mantl,69,GK,SpVgg Unterhaching,3. Liga,GER,70,69,64,70,33,69,3,1
Daniel Sappa,69,GK,Patronato,Primera División,ARG,63,72,68,69,33,71,3,1
Michael Verrips,69,GK,Sheffield United,Premier League,NED,71,68,71,72,17,65,3,1
Bailey Peacock-Farrell,69,GK,Burnley,Premier League,NIR,72,65,72,73,53,64,2,1
Bernabé,69,GK,Albacete BP,LaLiga SmartBank,ESP,67,70,66,67,45,68,3,1
Michael Zetterer,69,GK,PEC Zwolle,Eredivisie,GER,68,66,71,73,41,64,4,1
